run,mse,pplxy,converged
1,0.04840669014474341,0.1483662102547361,false
2,0.04840277329987504,0.14833133700743495,false
3,0.04839876985781401,0.14833959669805474,false
4,0.04838884294407978,0.14833135763351848,false
5,0.04840451196482334,0.14833535447624935,false
6,0.04837723181853242,0.14836061454609656,false
7,0.04840437573482351,0.14832187391481863,false
8,0.04840557822386653,0.14832761039665737,false
9,0.048413525892230413,0.14832489806599464,false
10,0.04840844832163139,0.14834158140593018,false
