run,BTR_noCVEM_K2,BTR_noCVEM_K5,BTR_noCVEM_K10,BTR_noCVEM_K15,BTR_noCVEM_K20,BTR_noCVEM_K25,BTR_noCVEM_K30,BTR_noCVEM_K40,BTR_noCVEM_K50
1,-0.5058997901794668,-0.5749063598177175,-0.6080632764824822,-0.6185381447063676,-0.5422098052429518,-0.5499878631883447,-0.3966195473311541,-0.46352580260438236,-0.42611515931887417
2,-0.5051955760893136,-0.624330626380408,-0.6254011847456677,-0.5221505753434821,-0.503800267305794,-0.5029359263218434,-0.4740959367187312,-0.45605761039573645,-0.43627966584108246
3,-0.5057132578725128,-0.6455621998957672,-0.5136043048744019,-0.5491151754490607,-0.46671569989208717,-0.6200492812603569,-0.48692518099458526,-0.45865391185253745,-0.402535355065922
4,-0.5054753280575572,-0.5799050954835031,-0.49769115425946553,-0.5746199897660301,-0.5089751880920521,-0.4986734641689117,-0.42009486262817525,-0.4235725595562555,-0.46680991575690234
5,-0.5055948048896434,-0.5779302267227371,-0.5929816354598013,-0.5323734112538265,-0.5641374111666584,-0.5704096045975287,-0.5032991173547622,-0.4069272400084496,-0.4154363883145199
6,-0.5053431339370142,-0.5668269245072728,-0.5923798628544081,-0.5105214108972003,-0.5209992008716743,-0.4570663817766854,-0.4855965947628768,-0.4559208039488962,-0.40493312115953795
7,-0.5057221122186826,-0.5749884373661843,-0.60496565379572,-0.5754777410612155,-0.6312648223555515,-0.518507467428805,-0.49168593009565764,-0.45133837107808733,-0.3948465603976655
8,-0.5053405596231365,-0.5709968290819705,-0.520363206499488,-0.5669842158177036,-0.5238213287515043,-0.516278628444577,-0.4797539284576493,-0.43340405506600344,-0.404267262453362
9,-0.5057110462654608,-0.5744111226337453,-0.6653509562079649,-0.6741678034528423,-0.49515252803859555,-0.5155437300863406,-0.4928924669050164,-0.4431938135646726,-0.48033734604593725
10,-0.5057647248270436,-0.5844919311191765,-0.640991148141386,-0.6153610925744619,-0.46846600867533544,-0.5414183873102241,-0.48283486317703583,-0.4519002748697304,-0.40127859767767377
11,-0.5055166378015695,-0.5853875182001023,-0.6483787715289299,-0.5198799643604037,-0.465050670469628,-0.4880553653935026,-0.47822596543516677,-0.451364469261457,-0.4437357292198837
12,-0.5053390861052959,-0.5813313440476086,-0.6083183291368165,-0.6268670421975989,-0.47256752282464054,-0.41831656262388306,-0.488878362903004,-0.4754732983008353,-0.4500686178123668
13,-0.5054832135564302,-0.5653573656805773,-0.536202444229873,-0.6564974917601669,-0.5317147018276622,-0.5193989132099661,-0.48377366602324556,-0.44197278066133006,-0.4510567236506685
14,-0.5055967670307357,-0.5897538399824982,-0.518080836450834,-0.5839551352095871,-0.5242731274534174,-0.4838306430237416,-0.5340622937805073,-0.44409848523667017,-0.44169677044443834
15,-0.5056309411606267,-0.5734968315061655,-0.6047893141104982,-0.5639139941149869,-0.5693496915818739,-0.5644880745640077,-0.47121184856460396,-0.4396397027374857,-0.4035059771178519
16,-0.5054586260805254,-0.5674467992126936,-0.6385790650360263,-0.5652133035798308,-0.49159680002961936,-0.4897672244078646,-0.5057642698738727,-0.4570987943366846,-0.43937777618827123
17,-0.5055353089432085,-0.5805457639234128,-0.5139147268156105,-0.4892304403593134,-0.4983917238651038,-0.5114616360419837,-0.5374430348239804,-0.4368330911270563,-0.45458155434373043
18,-0.5050787882061111,-0.4919258709586092,-0.6853860842880928,-0.5687766585463034,-0.4717675461707561,-0.5120578805849973,-0.4945430393969909,-0.4607293198683115,-0.4280555869911079
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
